id,long,lat,alt,dist
15756,-100.12839,35.22564,0.0,11790.86406627774
15757,-100.12863000000002,35.22544,0.0,11822.005954652193
15758,-100.12912,35.22508,0.0,11881.867795384485
15759,-100.12927,35.22498,0.0,11899.454379145454
15760,-100.12934,35.22494,0.0,11907.2140365439
15761,-100.12943,35.22491,0.0,11916.043543072994
15762,-100.1296,35.22483,0.0,11933.864401125964
15763,-100.12969,35.2248,0.0,11942.693917915587
15764,-100.12981,35.22477,0.0,11954.093096711158
15765,-100.13003,35.22473000000001,0.0,11974.565719182341
15766,-100.13036000000001,35.22468,0.0,12005.05241895685
15767,-100.13068,35.22472,0.0,12034.45785950395
15768,-100.13080000000001,35.22474,0.0,12045.582574440246
15769,-100.13093,35.22477,0.0,12057.853218518727
15770,-100.13104,35.22481,0.0,12068.790272204655
15771,-100.1312,35.22486000000001,0.0,12084.350938491318
15772,-100.13129,35.22491,0.0,12094.237452041101
15773,-100.13147,35.225,0.0,12113.407218528977
15774,-100.13156,35.22505,0.0,12123.293720416497
15775,-100.13164,35.2251,0.0,12132.443384668468
15776,-100.1325,35.22576,0.0,12239.626336848922
15777,-100.13266,35.22587,0.0,12258.621773823563
15778,-100.1328,35.22596,0.0,12274.804006525683
15779,-100.13297,35.22606,0.0,12293.832611415333
15780,-100.13308,35.22611,0.0,12305.266938565464
15781,-100.13318,35.22615,0.0,12315.380764091951
15782,-100.13341,35.22623,0.0,12338.08738635393
15783,-100.13359,35.22628,0.0,12355.356759133261
15784,-100.13373,35.22631,0.0,12368.503625538387
15785,-100.13407,35.22635,0.0,12399.70545439189
15786,-100.13431,35.22635,0.0,12421.505345562988
15787,-100.13453,35.22636,0.0,12441.519490710622
15788,-100.13488,35.22635,0.0,12473.330436700784
15789,-100.13523,35.22636,0.0,12505.141382692238
15790,-100.13571,35.22635,0.0,12548.7553393698
15791,-100.1368,35.22637,0.0,12647.788139516735
15792,-100.13787,35.22643,0.0,12745.207981624337
15793,-100.13813,35.22643,0.0,12768.824507108282
15794,-100.13835,35.22644,0.0,12788.838632584462
15795,-100.14821,35.22647,0.0,13684.455881302283
15796,-100.14826,35.22646,0.0,13689.131659618328
15797,-100.15679000000002,35.22646,0.0,14463.935074384026
15798,-100.157,35.22647,0.0,14483.042334572516
15799,-100.15729,35.22646,0.0,14509.407291223775
15800,-100.15778,35.22646,0.0,14553.91534202681
15801,-100.15897,35.22642,0.0,14662.097820868186
15802,-100.1592,35.22642,0.0,14682.989365217518
15803,-100.1596,35.22641,0.0,14719.33949928757
15804,-100.16218,35.22641,0.0,14953.688156079574
15805,-100.16238,35.2264,0.0,14971.8887183354
15806,-100.1625,35.22639,0.0,14982.845228416005
15807,-100.16264,35.22637,0.0,14995.754821810957
15808,-100.16279,35.22634,0.0,15009.78217470382
15809,-100.163,35.22628,0.0,15029.990189772585
15810,-100.16317,35.22622,0.0,15046.811450088166
15811,-100.16335,35.22615,0.0,15064.919626294499
15812,-100.16344,35.2261,0.0,15074.806036544835
15813,-100.1636,35.22602,0.0,15091.845660180377
15814,-100.1637,35.22595,0.0,15103.807766613878
15815,-100.16389,35.22583,0.0,15125.622820159717
15816,-100.16434,35.22551000000001,0.0,15179.815831382393
15817,-100.16456,35.22537,0.0,15205.147216863048
15818,-100.16475,35.22524,0.0,15227.659694184971
15819,-100.16487,35.22517,0.0,15241.053621694366
15820,-100.16508,35.22508,0.0,15262.594603635973
15821,-100.16529,35.225,0.0,15283.642058002919
15822,-100.16538,35.22498,0.0,15292.114243236208
15823,-100.16545000000002,35.22496,0.0,15298.85034737361
15824,-100.16555,35.22494,0.0,15308.202068730567
15825,-100.16591,35.22491,0.0,15341.072188302947
15826,-100.16602,35.22491,0.0,15351.063982403295
15827,-100.16611,35.22492,0.0,15359.31436134323
15828,-100.16638,35.22496,0.0,15384.239718341005
15829,-100.16647,35.22498,0.0,15392.71190551853
15830,-100.16655,35.22501,0.0,15400.70775202086
15831,-100.16667000000001,35.22504,0.0,15412.106899989541
15832,-100.16673,35.22507,0.0,15418.496816423496
15833,-100.16682,35.2251,0.0,15427.326308028136
15834,-100.16696,35.22518,0.0,15442.845599711047
15835,-100.16702000000001,35.22522,0.0,15449.88022436977
15836,-100.1671,35.22526,0.0,15458.40009881863
15837,-100.16721,35.22534,0.0,15471.777938129813
15838,-100.16788000000001,35.2258,0.0,15551.276738873916
15839,-100.1683,35.22607,0.0,15599.82342958988
15840,-100.16841,35.22613,0.0,15611.837776984466
15841,-100.16859,35.22621,0.0,15630.451014529997
15842,-100.16869,35.22624,0.0,15640.127494024708
15843,-100.16883000000001,35.22629,0.0,15654.006366984242
15844,-100.169,35.22633,0.0,15670.075773398486
15845,-100.16911,35.22636,0.0,15680.609542850412
15846,-100.16921,35.22638,0.0,15689.96110981463
15847,-100.16948,35.22642,0.0,15714.88603262495
15848,-100.17146,35.22643,0.0,15894.738405928798
15849,-100.17247000000002,35.22646,0.0,15986.540135447745
15850,-100.17359,35.22648,0.0,16088.297115009422
15851,-100.21526,35.22651,0.0,19873.297898029803
15852,-100.21711,35.22654,0.0,20041.371470843394
15853,-100.22168,35.22654,0.0,20456.476759851794
15854,-100.22178000000001,35.22656,0.0,20465.828307244432
15855,-100.22206,35.22656,0.0,20491.26144778705
15856,-100.22251,35.22657,0.0,20532.1512572864
15857,-100.22279,35.22659,0.0,20557.681436364113
15858,-100.22285,35.2266,0.0,20563.243671098222
15859,-100.22323,35.22662,0.0,20597.831623801452
15860,-100.22376,35.22667,0.0,20646.292854256662
15861,-100.22416,35.22669,0.0,20682.693855862603
15862,-100.22455000000001,35.2267,0.0,20718.135975654448
15863,-100.22721,35.2267,0.0,20959.750393935094
15864,-100.2282,35.22668,0.0,21049.702063428136
15865,-100.22827,35.22661,0.0,21059.75257747221
15866,-100.22881,35.22662,0.0,21108.814774685146
